1pugC00,3.30.1310.10
1jd7A01,3.20.20.80
1palA00,1.10.238.10
3lz5A00,3.20.20.100
3ij2A00,2.10.90.10
3q6oA01,3.40.30.10
4gb3200,2.60.120.20
5xteB00,2.10.210.10
2iipC00,3.40.50.150
2nx4C00,1.10.357.10
1qhoA01,3.20.20.80
3lpaA00,3.40.50.200
4nirB00,3.20.20.20
5ihsA00,3.20.20.80
4nzsA01,3.40.47.10
5iznA00,2.40.240.10
3ksxA03,6.10.10.20
3vywA02,3.40.50.150
4kvcH01,2.60.40.10
4feiA00,2.60.40.790
4iwbB00,1.20.120.340
3wl9A01,3.30.500.10
6g94Q01,3.40.50.700
4ktpB02,2.60.420.10
5jq4B00,3.40.630.30
4jo7A00,6.10.140.1350
4nugL01,2.60.40.10
1swvA01,3.40.50.1000
3efeC00,3.40.50.880
1bho100,3.40.50.410
1ok3B04,2.10.70.10
4k9eL01,2.60.40.10
4urgB00,3.30.70.270
5wtaA02,2.60.40.1290
4eneE01,2.60.40.10
3qwnK01,2.40.50.500
3srtB00,2.160.10.10
1pz5A01,2.60.40.10
5jk7D00,3.40.470.10
2wtuB04,1.10.1420.10
4dncA01,3.30.60.60
4nztH02,2.60.40.10
4ed5B02,3.30.70.330
3v22V00,1.10.10.620
2cb4B00,3.90.210.10
3b0dC00,1.10.20.10
3zcoA00,1.10.10.2450
5gjnA02,3.20.20.10
2ejpC00,2.40.155.10
5u89B00,3.90.820.10
2vjpA01,3.40.50.10540
3mopA00,1.10.533.10
4eqbA01,3.40.190.10
3ei6A02,3.40.640.10
3pguA00,2.40.160.60
2bg7B00,3.60.15.10
4k9rA01,3.40.50.12110
1f6dD01,3.40.50.2000
1nz0C00,3.30.230.10
2x2zD03,2.10.70.70
4ecaB01,3.40.50.1170
3abzA04,2.60.40.10
4ld9L00,2.30.30.490
2basA01,3.20.20.450
3fg8E00,3.30.450.20
3gx8A01,3.40.30.10
2veoA01,3.40.50.1820
3ifgA01,3.40.605.10
5henB00,1.20.920.10
2oeqB00,1.20.1500.10
2ff0A00,3.30.50.10
2z5yA02,3.90.660.10
1w2zB03,2.70.98.20
3oelA02,3.40.190.10
5izaA00,1.25.10.10
3oiqA02,1.10.10.2380
1sznA02,2.60.40.1180
1o1mB00,1.10.490.10
2xlcE00,3.40.50.1820
1jx9B01,3.60.20.10
5fivA00,2.40.70.10
1qqp200,2.60.120.20
4ks7A01,3.30.200.20
5ubjA00,2.115.10.20
3md2A01,1.20.91.10
3fgqA02,3.30.497.10
6hg6A01,3.20.20.100
3vbnC01,2.160.10.10
3c9uA01,3.30.1330.10
3lycM00,2.160.20.120
3pgkA01,3.40.50.1260
1p3bF00,1.10.20.10
2cveA02,3.30.70.240
1tocR02,4.10.410.10
3hr6A03,2.60.40.10
3zknC01,2.60.40.10
3so5B00,2.60.40.10
3pi2A00,1.10.490.10
5hsvA00,2.40.100.10
1ci0B00,2.30.110.10
3zjaA01,2.60.40.1890
4ecfA02,3.40.190.10
1oy1A00,3.40.50.880
2oipA03,3.30.572.10
1x7fA01,3.20.20.70
3hsbB00,2.30.30.100
4q92A02,3.40.309.10
2wpfA02,3.50.50.60
5caiF00,2.30.30.100
2csbB02,6.10.250.950
6c0aA00,1.10.238.10
4jznC01,2.60.40.10
2oe3A00,3.40.30.10
2cv4F02,3.30.1020.10
2ofdB00,2.60.270.20
1pfzA02,2.40.70.10
2jl1A01,3.40.50.720
4gpzB00,3.40.50.1240
4le9A00,2.30.30.40
4nhdB01,3.40.47.10
4r9xB00,3.20.20.380
2xyqA00,3.40.50.150
3wvvA00,1.20.1260.10
3eh8A02,3.10.28.10
3dr4A02,3.90.1150.10
3a68E00,1.20.1260.10
3gg7A00,3.20.20.140
1hv8B02,3.40.50.300
3lxzA02,1.20.1050.10
1przA02,6.10.140.230
3m1vA03,1.20.840.10
2r79A01,3.40.50.1980
4b8cD02,3.30.1370.190
3l8nA01,1.10.220.20
4e4eD02,3.55.40.20
6geeA00,2.70.50.80
1yjzA02,3.40.640.10
3hwcA03,1.20.140.10
2cpqA01,3.30.1370.10
2axuG02,1.25.40.400
3g8wA00,3.40.630.30
1h32A01,1.10.760.10
1gyeB00,2.115.10.20
2qytA01,3.40.50.720
3ec7D01,3.40.50.720
3k12E00,3.30.1330.40
3i9v103,3.10.20.600
5torB02,3.40.640.10
3nojA01,3.50.30.40
3tv3L01,2.60.40.10
1ukpA00,3.20.20.80
3augC00,4.10.410.10
3cq3A00,3.30.300.130
2infA00,3.20.20.210
4dalE02,3.40.309.10
2rpcA03,3.30.160.60
3d1jA02,3.40.50.2000
2c2lA01,1.25.40.10
1krjA02,1.10.420.10
1yqhA00,3.30.70.930
1ik3A04,3.10.450.60
3a2mB00,3.40.50.1820
2os8B01,1.10.238.10
3j26N01,2.60.120.1100
2lcrA00,2.10.60.10
1n7dA04,4.10.400.10
4kg6A00,3.40.710.10
4zdvA00,3.10.20.90
1s3qF00,1.20.1260.10
3zukA01,3.40.390.10
3zeuD02,3.30.420.40
2z13A00,2.30.29.170
1or0B01,3.60.20.10
3piwA00,1.20.1250.10
3ug0A00,2.40.155.10
5iobC00,3.20.20.300
3irbA02,2.40.50.140
2iw6C02,1.10.510.10
1k87A03,3.20.20.220
2o52A01,3.40.50.300
3b40A02,1.10.287.650
6gscA01,1.10.287.990
5e2hA00,3.40.710.10
1pznA02,3.40.50.300
3imaA00,3.90.70.10
3kjxB03,3.40.50.2300
6hjjA01,3.30.200.20
1f20A03,2.40.30.10
4mksA01,3.30.390.10
4x84A02,3.30.70.260
5jueL01,2.60.40.10
5d8dA01,3.40.50.20
2h1nB00,1.10.1370.30
3k8tA00,3.20.70.20
4jzxB00,1.10.600.10
4v1dE00,2.60.40.10
2e1qC03,3.30.43.10
1rtyB00,1.20.1200.10
1p7gD02,3.55.40.20
3oqbF01,3.40.50.720
6aqzA02,3.90.25.10
2ioyA01,3.40.50.2300
5jg5B00,3.10.200.10
1iseA02,3.30.1360.40
4zh5A00,1.50.10.10
1r5tA00,3.40.140.10
2ozeA00,3.40.50.300
1khoA01,1.10.575.10
1zsyA02,3.40.50.720
5e6cA00,3.30.50.10
1ujzA00,1.10.1200.20
3br0A02,1.10.357.10
3kmiA00,1.20.120.940
1wriA00,3.10.20.30
5edhD00,1.10.1300.10
3aqeD00,1.10.150.510
1aqiA02,3.90.220.10
1dw9B02,3.30.1160.10
3vooA00,1.10.630.10
1bcoA02,2.30.30.130
4d5jA00,2.70.100.10
5wq3B01,3.40.50.450
6c07D02,3.30.300.10
5u38A00,2.60.120.200
1vjwA00,3.30.70.20
2oldA01,2.60.40.10
4xbsA00,3.20.20.70
1mx0C03,3.30.230.10
2dvmA01,3.40.50.10380
3sajB01,3.40.50.2300
2oovD03,2.70.98.20
1vx4q01,3.30.70.1730
4hjwA00,3.20.20.140
3uc0B00,2.60.98.10
2nveA00,2.102.10.10
4nu8X01,3.40.50.1100
5tshB01,3.30.450.90
3llwD00,1.10.600.10
4pqxA02,2.60.40.2370
3hcjA01,2.170.150.20
3bm4A00,3.90.79.10
1sedA00,1.10.3750.10
5optO00,1.10.455.10
4nurA01,3.60.15.30
2c5sA02,3.40.50.620
2bisA01,3.40.50.2000
4c5eC02,2.30.30.140
3ffaA01,3.40.50.300
4usaA07,3.30.365.10
4xg7A02,1.10.510.10
6e3kB00,1.20.1250.10
2ebyB00,1.10.260.40
2n5zA00,1.10.530.10
2zbjA00,2.60.120.200
3f4sA01,3.40.30.10
1t9qA00,2.20.28.10
1m32B01,3.90.1150.10
1i86A01,3.40.47.10
1vluB02,3.40.309.10
3rm5B01,3.40.1190.20
4jzzA01,2.170.40.20
4r8wL00,2.60.40.10
5grxG01,2.60.40.10
5w3zD00,3.20.20.140
4ea9A01,3.40.50.20
3lv8A00,3.40.50.300
4eg2D01,3.40.140.10
4q31E02,3.90.1150.10
2h6fB00,1.50.10.20
2i9xB00,3.30.1120.40
4rslA01,3.50.50.60
4yt8A01,3.40.50.720
2af7C00,1.20.1290.10
3unaB07,3.90.1170.50
1f16A00,1.10.437.10
1rhyA02,3.30.230.40
3fosA02,3.30.450.20
2jh7A01,3.90.640.70
2qj0A02,3.30.40.10
1q16A13,2.40.40.20
3msrA00,3.20.20.140
4mjeA01,3.40.30.10
2r29H01,2.60.40.10
2pzfB00,3.40.50.300
3dgtA00,2.60.120.200
2yruA01,1.20.940.10
4v33A01,2.60.40.3760
4e97A00,1.10.530.40
4wtxA00,2.60.40.10
5y4nL00,1.10.645.10
1q03A00,2.80.10.50
2dr3A00,3.40.50.300
4jpiB02,2.60.40.10
6bncA00,3.40.720.10
5ayjD00,3.10.270.10
1s0hA00,1.10.490.10
4aysA03,3.90.400.10
4go6D01,2.60.40.10
3uqzC00,3.40.50.450
3wcoA01,3.90.1150.180
6hmuA00,1.20.190.20
5dumA00,3.90.209.20
1i5nA00,1.20.120.160
1mu2A03,3.30.70.270
3ce9C01,3.40.50.1970
3ekhA02,2.40.155.10
6g87D01,1.10.10.60
3iuwA00,2.30.130.30
5fr2B00,2.70.50.30
3iv4A00,3.40.30.10
9wgaA02,3.30.60.10
3htlX02,2.60.40.740
3h1gA00,3.40.50.2300
6bugB00,1.10.1200.10
7prnA00,2.40.160.10
1e91A00,1.20.1160.11
4cofA02,1.20.58.390
5i45A00,3.40.50.2000
2o3oD02,3.30.310.160
1wv3A02,2.60.200.20
1j31C00,3.60.110.10
2vpzA05,2.40.40.20
2zchP02,2.40.10.10
1b22A00,1.10.150.20
3l01A01,3.40.50.2000
3nziA01,2.40.10.10
1wb3D03,2.40.30.10
3vmvA00,2.160.20.10
4n3gA01,3.40.50.10050
4ilsA02,3.20.20.10
3no5C00,3.20.20.70
4ehoD01,3.30.450.40
4h9vA00,3.20.20.140
1sflB00,3.20.20.70
2haeA02,3.40.50.720
4o82A01,3.30.200.20
4tvcA03,3.20.20.80
1o5hA00,1.20.120.680
4ucgB00,3.20.20.70
4emgJ00,2.30.30.100
2e0yA02,1.10.246.130
4wsrA02,3.90.209.20
4fxrA00,3.20.20.70
4v1rA00,1.50.10.20
1ev1400,4.10.80.10
1ntoA02,3.40.50.720
2f9tA02,3.30.420.40
2pliD00,3.30.465.10
5edhC00,1.10.1300.10
3wg7N00,1.20.210.10
1dyoA00,2.60.120.260
1qsjA00,1.50.10.20
1hciA04,1.20.58.60
1p80A01,2.40.180.10
4zv4A01,3.40.50.300
3e0gA05,2.60.40.10
1pokB02,3.20.20.140
4rgnE01,2.60.40.10
2q02D00,3.20.20.150
1mjvA00,2.10.90.10
3qxyA02,3.90.1420.10
1kkxA00,1.10.150.60
4w78F00,3.10.129.10
3n7zB03,3.30.1050.10
2vywA00,1.10.490.10
1qdeA00,3.40.50.300
4bcyA00,2.60.40.200
3fakA00,3.40.50.1820
1so9A00,2.60.370.10
4eorC02,1.10.510.10
2z66A00,3.80.10.10
3hnrA00,3.40.50.150
2vpbA00,3.30.40.10
2jbmA02,3.20.20.70
5ed4A01,3.40.50.2300
3bzcA04,1.10.150.310
6cylA02,3.55.40.20
2o3gA00,3.30.465.10
2py2A00,3.10.100.10
1ml8A01,2.20.25.10
1n73D00,1.20.5.50
3c24A01,3.40.50.720
3sr9A01,3.90.190.10
4g92B00,1.10.20.10
5jj7B02,1.10.3290.10
2zk9X00,3.10.620.30
3f4dB00,3.20.20.140
3nzgB02,3.20.20.120
3l00A01,3.30.160.70
4n5mA00,3.40.50.720
4ybaA00,1.10.260.40
3fwnA02,1.10.1040.10
2ibpA01,1.10.580.10
1xq4D00,2.60.40.1470
1qx7I01,1.10.238.10
1thgA00,3.40.50.1820
1wcxA01,3.40.50.10090
3m5jB00,3.90.20.10
4f60A00,3.40.50.1820
2wbjH01,2.60.40.10
3vfiA00,3.40.30.10
3n7zF02,3.40.630.30
4o9hL01,2.60.40.10
4zjpA01,3.40.50.2300
1ytoB00,2.80.10.50
3i2cH01,2.60.40.10
1ucgA00,3.90.730.10
4kf4H00,2.40.155.10
5bufA01,3.65.10.10
4n27A00,2.160.10.10
2kdvA00,3.90.79.10
5c2zA02,2.40.10.10
3d6wB01,2.40.50.40
3l5lA00,3.20.20.70
3m47B00,3.20.20.70
4l00A02,1.10.510.10
5ltpD00,2.40.155.10
3uf2D00,1.20.1250.10
1hk7A02,3.40.50.11260
4arcA04,2.20.28.290
2xknB01,2.60.40.10
3g5rA01,3.50.50.60
2hayB00,3.40.109.10
3jtdC01,1.10.238.10
3sxsA01,3.30.200.20
3hgoB00,3.20.20.70
1m4zA01,2.30.30.490
3ziuA01,1.10.730.10
2dquH01,2.60.40.10
5vnlB05,3.40.20.10
5hpcA00,3.20.20.80
4cy3A00,2.130.10.10
3nxkC02,3.40.50.40
4uykA00,3.30.720.10
3nc4A01,3.40.50.2000
5kerA00,1.10.490.10
2r5bB00,1.20.5.170
4gycA00,1.20.1070.10
4c7mA00,3.40.50.10140
4o8kA02,3.30.420.40
1vmeB01,3.60.15.10
5caeB01,3.30.470.20
2kr7A01,3.10.50.40
5u3jH01,2.60.40.10
3vtfA01,3.40.50.720
4ycaA02,1.10.1040.10
1r5bA03,2.40.30.10
1x4cA01,3.30.70.330
1tg6E00,3.90.226.10
4htaA00,3.40.50.1820
6on6A00,2.60.40.10
4ecjA01,3.40.30.10
2lgnA00,2.60.40.2850
2fs1A00,1.10.8.40
3nx2A00,2.40.128.20
4b9qC02,3.30.420.40
1bd2D01,2.60.40.10
1rp5A01,2.20.70.70
2hl5C00,2.30.30.190
4zosB00,3.30.70.100
2olsA01,3.30.1490.20
3lp5A00,3.40.50.1820
1xp8A02,3.30.250.10
3d0jA00,2.60.120.10
3ic7A01,1.10.10.10
5l5fL00,3.60.20.10
6apeA01,3.40.50.720
3oq3B01,2.60.40.10
4z50A00,2.40.70.10
1fs5A00,3.40.50.1360
3fyhA02,3.40.50.300
2vksA00,3.30.450.40
3rssA02,3.40.1190.20
5bn8A03,3.30.420.40
1be4A00,3.30.70.141
4u1rA04,3.40.50.460
5u3wB00,1.10.565.10
2hoeA01,1.10.10.10
6bynW00,2.130.10.10
3teyA02,2.60.120.240
1xhkB00,3.30.230.10
1j5cA00,2.60.40.420
3jstA00,3.30.1360.20
3vf1A02,1.20.245.10
3vkhB19,1.20.1270.280
3iboA00,2.60.40.420
3mi6C03,2.60.40.1180
2v67J00,3.30.190.10
2p5oB03,3.90.1600.10
3uw2A04,3.30.310.50
3o5cC02,1.10.760.10
1vomA04,1.20.58.530
2z04A01,3.40.50.20
3ld4A00,3.10.270.10
4kt0B00,1.20.1130.10
4ohyA01,2.60.120.1030
4qmgD01,2.40.50.90
2axuA02,1.25.40.400
3triB02,1.10.3730.10
3cosA02,3.40.50.720
2lxyA00,1.20.1270.70
2mngA00,2.60.120.10
5bmnA04,3.30.310.50
3q27A01,3.40.190.10
2yziB00,3.10.580.10
3cprB00,3.20.20.70
3b3aA00,3.40.50.880
4npdA00,1.20.5.420
3eokB00,1.10.490.10
1fx0A02,3.40.50.300
3laqU02,2.10.60.10
2nwaF01,2.40.240.20
3ly5A00,3.40.50.300
5gyzA00,3.40.50.12780
1yfoA00,3.90.190.10
2oqbA00,2.30.29.30
4f3yA02,3.30.360.10
1ub7B01,3.40.47.10
2xxjA02,3.90.110.10
2fyoA01,1.20.1280.180
3r9mA00,1.25.40.280
2ihxA00,4.10.60.10
2ovlA01,3.30.390.10
4l63F00,2.40.50.110
2xszA01,3.40.50.300
6gd4C00,3.40.50.720
1wl7A00,2.115.10.20
1lz3A00,1.10.530.10
2la7A01,2.40.128.270
4wnkA02,3.30.200.20
4l06C00,3.40.718.10
1b8tA01,2.10.110.10
3pnzC00,3.20.20.140
2o0mA00,3.40.50.1360
4ilvA00,2.60.130.10
5f7eH01,2.60.40.10
2nypA00,3.60.15.10
2r56H01,2.60.40.10
2z5kA00,1.25.10.10
4wlwA00,1.10.1660.10
4b43A02,3.40.50.300
4op6A00,3.10.270.10
1tb3E00,3.20.20.70
4o60B00,1.25.40.20
2cp3A00,2.30.30.190
1ubnA00,3.40.50.200
3e8dA01,3.30.200.20
4kjnA00,2.40.50.90
5nbvA01,3.30.497.10
6br7B00,3.40.50.2300
4dy1A00,3.20.20.105
5pqiA00,1.20.920.10
3pr8B01,3.40.30.10
2mp1A00,2.40.50.40
5a4jA03,3.10.410.10
2iovB00,2.40.155.10
3navA00,3.20.20.70
4jhmB01,3.30.390.10
2i7gA00,3.20.20.30
6buuB02,1.10.510.10
4ntcA02,3.50.50.60
1f7sA00,3.40.20.10
2xubA02,1.10.10.10
5vmfA02,3.90.209.20
5hr1A00,3.40.30.10
4lbxA00,3.40.1190.20
1h1cA02,3.40.640.10
5dnlA01,3.30.230.40
5uwvA02,2.60.40.3710
4rc8A01,1.20.1260.10
5wc4A01,3.40.47.10
2vc5D00,3.20.20.140
3vg9C01,2.60.40.10
5bygD00,3.40.1310.20
3zukA02,1.10.1380.10
4ycsF00,3.40.50.2300
4a6wA00,3.90.230.10
2iq8B01,3.40.190.10
4acmA01,3.30.200.20
5wl7A01,3.50.70.10
2c4oA00,3.10.110.10
3n50B02,1.10.287.4280
3il4A01,3.40.47.10
5l02A01,1.10.520.10
1qf8A01,1.10.1820.10
3ee1A01,3.10.450.460
4r1wC02,3.30.300.30
3hnnD00,3.60.15.10
4w9iL01,2.60.40.780
4hgyC01,3.40.50.150
2jzcA00,3.40.50.2000
1qnaA01,3.30.310.10
3e19B01,2.30.30.90
2f02A00,3.40.1190.20
4xnqB02,2.60.40.10
2hlzC00,3.40.1190.20
1szeB01,3.20.20.70
3umvA01,3.40.50.620
4dxwB01,1.20.120.350
3kwvC00,3.40.390.10
3layJ00,1.20.120.1490
2vj4B02,1.10.150.630
5yk4A04,1.10.1420.10
3oetC02,3.40.50.720
3do8A00,3.40.50.620
1az1A00,3.20.20.100
4tm3A00,3.50.50.60
4zk8A00,2.60.40.420
4dnnB00,1.20.5.4010
3p4eA02,3.90.650.10
4kbue02,3.30.1390.10
1qy3A00,2.40.155.10
3nxkF02,3.40.50.40
4nh8A00,3.30.565.10
4pq0A02,2.30.29.30
3oeiE02,6.10.250.330
4ohcC00,3.40.50.2020
5dzqO00,3.90.176.10
3chxB00,1.20.1450.10
3mwrA02,3.10.130.10
2ongA01,1.50.10.130
2ksqA00,3.40.50.300
5ibkE00,1.20.1280.50
2w4kA02,1.10.510.10
1oz7B00,3.10.100.10
2g84A01,3.40.140.10
4jr6A00,3.40.30.10
3q6fB01,2.60.40.10
1k1dH02,3.20.20.140
1dybA00,1.10.530.40
1nneA04,1.10.1420.10
3lrxB01,3.40.50.80
4wp0B02,3.40.640.10
3ojgA00,3.20.20.140
4izwA00,3.60.110.10
1pfxL02,2.10.25.10
2vhlA02,3.20.20.140
4i37A03,1.25.10.30
4pq8A00,3.80.10.10
4dkjA02,3.90.120.10
3ctzA03,3.90.230.10
3f4wA00,3.20.20.70
3fdkA00,3.20.20.140
5vohD02,3.50.50.60
3agmA01,1.10.510.10
4ua3A00,3.40.630.30
4bmbA00,2.60.120.200
4o49A02,2.40.160.90
6hy2X01,2.160.10.10
1w7kA01,3.40.1190.10
4w9cD00,3.10.20.90
2i1yA00,3.90.190.10
3ncvA02,3.30.1370.100
6cxtB02,2.40.110.10
2q0zX01,1.10.3380.10
1hm5A01,3.40.50.10490
5vqfD01,2.60.120.970
3mzwB00,1.20.5.420
1psqA00,3.40.30.10
5c33B00,2.60.120.920
1pn2C02,3.10.129.10
4wlhA02,3.40.640.10
1zc1A02,3.10.330.10
4dj6A01,2.10.77.10
4akrB01,1.20.58.570
1gpwA00,3.20.20.70
2i13A04,3.30.160.60
5mi4A01,3.30.379.10
5aykA04,3.40.30.10
2pftA00,1.20.1280.170
3c3eB02,1.10.8.240
4d3qA00,3.90.190.10
2rjtA02,3.40.47.10
5e5nA02,1.10.1240.100
2h2yA01,3.10.110.10
4hsqA01,2.60.40.740
1sr9B04,3.30.160.270
3ucsA00,1.10.1660.10
2phpA00,3.40.225.10
4c0kA03,3.40.50.300
3ll7A01,1.10.10.1110
3n75B02,3.40.640.10
3lm7A00,3.20.20.70
4mk6A00,1.10.357.10
5xyib00,2.20.25.100
1npeA00,2.120.10.30
5jvaD00,2.40.155.10
1efhA00,3.40.50.300
4pxaA01,3.40.50.300
2ooiA01,3.40.1410.10
6qasB01,3.30.200.20
4hjfA00,3.20.20.450
3rv2A01,3.30.300.10
1wjpA03,3.30.160.60
2rk6A00,3.40.50.880
5ihnA00,2.30.30.40
4qa2B00,3.40.800.20
2zxtA03,1.10.287.2900
1aorA01,3.60.9.10
1zhxA04,3.30.70.3490
2dy4B01,3.30.342.10
1xq6A00,3.40.50.720
2a47A00,2.40.155.10
4j8eA00,1.25.40.10
1vwxH02,3.90.930.12
5ixjA01,3.40.50.1100
2cz9A02,3.30.70.890
3lf4A00,3.30.1300.40
5wceA02,3.10.150.10
3swaA02,3.65.10.10
1o9bB02,3.40.50.720
5zcpG00,4.10.95.10
2i4sA00,2.30.42.10
5k16A00,3.90.70.10
3olmA03,3.30.2410.10
5vzrA02,2.60.40.10
3bfjA02,1.20.1090.10
3m1aB00,3.40.50.720
4mtcA00,3.40.50.880
4rv2A00,3.10.129.10
3jzyA00,2.60.40.150
5nvvC01,2.60.40.780
2nn6D00,3.30.230.70
4hg2A01,3.40.50.150
4qw2B02,2.30.30.140
3itgB00,3.20.20.220
1b9aA00,1.10.238.10
1kxzH00,3.40.50.150
4odhH01,2.60.40.10
1yi9A01,2.60.120.310
3dmuA00,2.40.50.90
3v4cA01,3.40.605.10
2h12A03,1.10.230.10
3m9lA01,3.40.50.1000
3af5A01,3.30.300.230
3cx5B01,3.30.830.10
3kojA00,2.40.50.140
4i1sB00,4.10.80.340
2kzrA00,3.10.20.90
4c1yA00,2.120.10.70
1qq3A00,1.20.120.10
3vsmA02,2.70.98.100
4wczB01,3.90.226.10
1l25A00,1.10.530.40
5exbN00,2.40.155.10
1mimL01,2.60.40.10
1k7tA01,3.30.60.10
2zptX00,3.40.50.300
3k7cD00,3.10.450.50
1uluD00,3.40.50.720
5c8eB01,1.10.1660.10
3f51C00,1.10.260.40
4hr3A01,1.10.540.10
3qqwB01,3.20.20.60
5fobB03,2.60.120.1540
4fb9B02,4.10.470.10
3aj1E01,1.20.5.3790
3cisH00,3.40.50.12370
6a2sH00,2.10.109.10
2xdpA02,3.10.330.70
3ffbA01,3.40.50.300
1su0B00,3.90.1010.10
4y5yF01,2.60.40.10
3tbbA02,2.60.40.420
4al8L01,2.60.40.10
4ip7A01,3.40.1380.20
4jqtA01,2.60.120.560
3iwzA02,1.10.10.10
2o7fB01,1.10.275.10
4jvtA01,3.90.226.10
2ehvB00,3.40.50.300
2egdB00,1.10.238.10
4lcrA01,3.20.20.140
4p2bA05,2.40.240.10
2iofA01,3.40.50.1000
1zcvA00,3.90.550.10
1y47A00,1.20.5.420
5bqjN00,1.20.20.10
3bd6A02,3.40.50.2000
3r6fA00,3.30.428.10
7ptdA00,3.20.20.190
3kw3B01,2.40.37.10
3lycD00,2.160.20.120
2bhvB02,1.10.1200.160
2iswB00,3.20.20.70
3u37A02,3.40.50.1110
1uweH01,2.60.40.10
1sfcG00,1.20.5.110
4cciA00,2.60.120.200
3tveX00,3.30.1390.20
3pyoM01,3.90.1170.10
4yomB01,3.30.200.20
1rquA01,1.20.5.710
1x1qB01,3.40.50.1100
2hz7A04,2.40.240.10
1k4yA00,3.40.50.1820
1dzfA01,3.40.1340.10
6cm9G00,1.25.10.10
3u4fD02,3.20.20.120
2prrI02,1.20.1290.10
4wniA02,3.30.360.10
5kjpA02,1.10.12.10
2ec7A00,4.10.60.10
2bozM02,1.20.85.10
2zb4A02,3.40.50.720
1ko7A02,3.40.50.300
2py1A00,2.40.128.20
1hyoA02,3.90.850.10
1nlsA00,2.60.120.200
2fclA00,3.30.460.40
3hb7B00,3.40.50.850
2j56M00,2.60.30.10
3pufA02,1.10.10.460
3x2pA00,2.40.40.10
4dwdA01,3.30.390.10
4rexA00,2.20.70.10
6mflA02,3.40.50.1980
1h4xB00,3.30.750.24
1zxcB00,3.40.390.10
4bknA02,3.20.20.140
2yd1A02,2.60.40.10
3aj1G02,3.30.70.2590
3gemB00,3.40.50.720
1di1A00,1.10.600.10
2b5dX01,3.20.110.10
4mw6B01,3.40.50.620
4rwoA01,3.30.460.10
5tdvH00,3.90.56.10
6dgsA01,3.20.20.70
1kwpB02,1.10.510.10
1zjrA00,3.40.1280.10
2c12A01,1.10.540.10
3o1fB00,3.30.1390.10
5jvyA02,1.10.640.10
4akgA04,1.20.58.1120
5latA00,2.60.120.620
5x2nK01,2.60.40.10
3c96A02,3.30.9.30
1q5tA00,1.20.90.10
4jy6A01,2.60.40.10
5c5sB00,1.10.555.10
1kgcD01,2.60.40.10
4i84A00,2.160.20.10
3mxbA00,3.10.28.10
1ws8A00,2.60.40.420
4w9hD00,3.10.20.90
3uaoG00,3.40.50.850
2b1eA01,1.20.58.1150
2cueA01,1.10.10.60
2xadA00,3.40.50.10320
3cytO00,1.10.760.10
1t8yA01,3.30.1730.10
4rmsA00,2.60.40.10
1jz0C05,2.70.98.10
1v5iB00,3.30.70.80
3tp7A00,2.40.50.90
4grwH00,2.60.40.10
2znmA00,3.40.30.10
2jr1A01,3.30.160.510
5azjD02,3.30.420.40
2wanA03,2.60.40.10
3p1wA03,1.10.405.10
2ogjC01,2.30.40.10
1f9tA00,3.40.850.10
1vg3A00,1.10.600.10
3huhA01,3.10.180.10
4j0eA01,3.40.50.720
4r3oA00,3.60.20.10
5ziaB01,2.60.40.10
1sxjB03,1.20.272.10
4e14A00,3.40.50.1820
6n7fA03,3.30.390.30
1y51A00,3.30.1340.10
1qjvA00,2.160.20.10
3t4wA02,3.20.20.120
3owqC00,3.40.630.190
3pl5A03,3.30.1180.10
1czaN01,3.30.420.40
1nbpA00,1.20.1250.10
1wnfA02,3.40.50.40
4le7A02,2.90.10.10
5yjsA01,2.60.120.10
1o68C00,3.20.20.60
1lwuC01,3.90.215.10
1rqcB00,3.90.45.10
1hqaA00,3.40.720.10
2h3hA01,3.40.50.2300
1jodA00,2.60.120.390
4acoA01,1.10.150.130
1z2zB01,3.30.2350.20
4clcB00,3.30.450.150
4i96A02,1.25.10.30
5iowA00,3.40.30.10
4edmA00,1.10.418.10
3hieD01,2.30.29.90
3vj6A02,2.60.40.10
4m3cA00,2.60.120.200
1xa0B02,3.40.50.720
2gimA00,2.60.40.420
1tm7I00,3.30.10.10
1jx1A02,3.50.70.10
3fhmA00,3.10.580.10
2zbaC02,3.30.559.10
1fcjA01,3.40.50.1100
2dcmA02,3.40.50.1820
4m1qB02,3.90.110.10
3h88C00,3.90.470.20
3u13A01,3.40.50.1000
3mjoA00,1.10.620.20
3bwjA02,3.30.200.20
2atfA00,2.60.120.10
2wtvC02,1.10.510.10
3oowH00,3.40.50.1970
4dbrA02,3.40.850.10
5i15L01,2.60.40.10
1ei5A01,3.40.710.10
1zaaC01,3.30.160.60
2q2eB03,3.30.230.10
3tqwB01,3.40.190.10
1qqcA02,3.30.420.10
4dy0B02,2.30.39.10
4l4iA03,1.25.10.30
2ct3A00,2.30.30.40
1ygrA02,3.90.190.10
1hu8A00,2.60.40.720
3u4eH01,2.60.40.10
2rgoB01,3.50.50.60
3egoA01,3.40.50.720
1nkqF00,3.90.850.10
5dtlH00,2.40.155.10
1ohfB01,1.20.1690.20
1gudA02,3.40.50.2300
4bsrB01,3.80.10.10
3pfoB01,3.40.630.10
3uiuA01,3.30.200.20
1ns5B00,3.40.1280.10
1ykpB00,2.60.130.10
4h3uA00,3.10.450.50
1gc0B01,3.40.640.10
1o6cA01,3.40.50.2000
1l1eB00,3.40.50.150
3f2bA06,1.10.150.700
3vr4C02,3.40.50.300
